i,t,axis_pos,mapper_pos,estimator_pos,spi_raw,spi_errors,spi_status,axis_pos_d,mapper_pos_d,estimator_pos_d,spi_raw_d,dt
1286,15.577761616092175,0.057512521743774414,0.05750840902328491,0.9970194101333618,0.99700927734375,0,0,0.001003861427307129,0.0003571510314941406,0.0001233816146850586,0.0,0.011999035952612758
1287,15.589891096111387,0.0575140118598938,0.05750948190689087,0.9970213174819946,0.99700927734375,0,0,1.4901161193847656e-06,1.0728836059570312e-06,1.9073486328125e-06,0.0,0.012129480019211769
1288,15.602029299130663,0.05751234292984009,0.05750715732574463,0.9970184564590454,0.99700927734375,0,0,-1.6689300537109375e-06,-2.3245811462402344e-06,-2.86102294921875e-06,0.0,0.012138203019276261
1289,15.614289353135973,0.05752450227737427,0.0575176477432251,0.9895878434181213,0.99700927734375,0,0,1.2159347534179688e-05,1.049041748046875e-05,-0.007430613040924072,0.0,0.01226005400530994
1290,15.626532813999802,0.05662912130355835,0.05729973316192627,0.9970439076423645,0.99700927734375,0,0,-0.000895380973815918,-0.00021791458129882812,0.007456064224243164,0.0,0.012243460863828659
1291,15.63863831316121,0.057524681091308594,0.05751776695251465,0.9970282316207886,0.99700927734375,0,0,0.0008955597877502441,0.0002180337905883789,-1.5676021575927734e-05,0.0,0.012105499161407351
1292,15.65098355198279,0.05749523639678955,0.05156761407852173,0.9941030144691467,0.99700927734375,0,0,-2.944469451904297e-05,-0.00595015287399292,-0.0029252171516418457,0.0,0.012345238821581006
1293,15.663183995056897,0.05583721399307251,0.05683797597885132,0.9967191815376282,0.99700927734375,0,0,-0.001658022403717041,0.00527036190032959,0.0026161670684814453,0.0,0.01220044307410717
1294,15.675397197017446,0.05677485466003418,0.0572812557220459,0.9970319867134094,0.99700927734375,0,0,0.0009376406669616699,0.0004432797431945801,0.00031280517578125,0.0,0.012213201960548759
1295,15.687571085058153,0.057521283626556396,0.05770617723464966,0.9972456097602844,0.99700927734375,0,0,0.0007464289665222168,0.00042492151260375977,0.000213623046875,0.0,0.012173888040706515
1296,15.699954175157472,0.05750620365142822,0.057503581047058105,0.9970163106918335,0.99700927734375,0,0,-1.5079975128173828e-05,-0.00020259618759155273,-0.00022929906845092773,0.0,0.012383090099319816
1297,15.71204604418017,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-1.0967254638671875e-05,-8.344650268554688e-06,-6.9141387939453125e-06,0.0,0.01209186902269721
1298,15.724342617206275,0.0574951171875,0.05005645751953125,0.9933003783226013,0.99700927734375,0,0,-1.1920928955078125e-07,-0.007438778877258301,-0.0037090182304382324,0.0,0.012296573026105762
1299,15.736522467108443,0.057588279247283936,0.05756795406341553,0.997070848941803,0.99700927734375,0,0,9.316205978393555e-05,0.007511496543884277,0.00377047061920166,0.0,0.012179849902167916
1300,15.748549669981003,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.967254638671875,0,0,-9.304285049438477e-05,-7.271766662597656e-05,-6.145238876342773e-05,-0.029754638671875,0.012027202872559428
1301,15.760764132020995,0.0575641393661499,0.05284750461578369,0.9941487908363342,0.99700927734375,0,0,6.890296936035156e-05,-0.004647731781005859,-0.0028606057167053223,0.029754638671875,0.012214462039992213
1302,15.77268283511512,0.05749547481536865,0.0574953556060791,0.9970095157623291,0.99700927734375,0,0,-6.866455078125e-05,0.00464785099029541,0.002860724925994873,0.0,0.011918703094124794
1303,15.784915667027235,0.0574951171875,0.05279338359832764,0.994102954864502,0.99700927734375,0,0,-3.5762786865234375e-07,-0.004701972007751465,-0.0029065608978271484,0.0,0.012232831912115216
1304,15.797044350998476,0.05758941173553467,0.05756765604019165,0.9970700740814209,0.99700927734375,0,0,9.429454803466797e-05,0.004774272441864014,0.0029671192169189453,0.0,0.012128683971241117
1305,15.809139998164028,0.057498812675476074,0.05749791860580444,0.9941046833992004,0.99700927734375,0,0,-9.059906005859375e-05,-6.973743438720703e-05,-0.002965390682220459,0.0,0.012095647165551782
1306,15.821661217138171,0.05749541521072388,0.0574953556060791,0.9970095157623291,0.99700927734375,0,0,-3.3974647521972656e-06,-2.562999725341797e-06,0.002904832363128662,0.0,0.012521218974143267
1307,15.833684828132391,0.0574951171875,0.0574951171875,0.9895706176757812,0.99700927734375,0,0,-2.980232238769531e-07,-2.384185791015625e-07,-0.0074388980865478516,0.0,0.01202361099421978
1308,15.846283121034503,0.05749547481536865,0.0574953556060791,0.9970095157623291,0.99700927734375,0,0,3.5762786865234375e-07,2.384185791015625e-07,0.0074388980865478516,0.0,0.012598292902112007
1309,15.858396083116531,0.05760669708251953,0.05758422613143921,0.9970794320106506,0.99700927734375,0,0,0.0001112222671508789,8.887052536010742e-05,6.99162483215332e-05,0.0,0.012112962082028389
1310,15.870554637163877,0.057505130767822266,0.05750274658203125,0.9970150589942932,0.99700927734375,0,0,-0.00010156631469726562,-8.147954940795898e-05,-6.437301635742188e-05,0.0,0.012158554047346115
